Runtime,Version,Bug type,Bug title,Bug URL,Submission Date,Resolved Date,Status,Labels,Confirmed
Bun,1.3.9,Cross runtime,CJS require() of failing ESM produces uninitialized exports on import(),https://github.com/oven-sh/bun/issues/27287,20-02-2026,27-04-2026,Closed as completed,bug,✓
Bun,1.3.10,Cross runtime,Bun does not support module.registerHooks,https://github.com/oven-sh/bun/issues/27369,23-02-2026,,Open,bug,✓
Deno,2.6.10,Cross runtime,CJS require() of throwing ESM module is not synchronous (Node compatibility mismatch),https://github.com/denoland/deno/issues/32279,23-02-2026,27-02-2026,Closed as completed,"Bug, node:compat",✓
Bun,1.3.10,Cross runtime,node:test async tests exceeding 5s timeout fail in Bun but pass in Node,https://github.com/oven-sh/bun/issues/27422,25-02-2026,,Open,bug,✓
Bun,1.3.10,Cross runtime,.cjs file using import.meta does not throw in Bun (Node incompatible),https://github.com/oven-sh/bun/issues/27425,25-02-2026,01-03-2026,Closed as duplicate,bug,✓
Deno,2.6.10,Cross runtime,node:test top-level await test() pattern fails in Deno,https://github.com/denoland/deno/issues/32326,25-02-2026,13-05-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.10,Cross runtime,AsyncLocalStorage context is not preserved inside stream.finished callback,https://github.com/oven-sh/bun/issues/27428,25-02-2026,26-02-2026,Closed as completed,bug,✓
Deno,2.6.10,Cross runtime,AsyncLocalStorage context is not preserved inside stream.finished callback,https://github.com/denoland/deno/issues/32327,25-02-2026,02-03-2026,Closed as completed,"node compat, bug",✓
Node,24.13.1,Regression,Regression bug: AbortSignal.any() causing memory leak on long lived parent signal,https://github.com/nodejs/node/issues/62363,21-03-2026,02-04-2026,Closed as completed,abortcontroller,✓
Deno,2.7.7,Cross runtime ,console.log throws TypeError on circular structures when Symbol.toStringTag getter throws (quick-lru) ,https://github.com/denoland/deno/issues/32894,21-03-2026,23-03-2026,Closed as completed,bug,✓
Deno,2.7.7,Cross runtime ,Buffer.concat truncates buffers larger than 4GB ,https://github.com/denoland/deno/issues/32895,21-03-2026,23-03-2026,Closed as completed,"bug, node compat",✓
Deno,2.7.7,Cross runtime ,AbortSignal.any() causing memory leak on long lived parent signal ,https://github.com/denoland/deno/issues/32898,21-03-2026,23-03-2026,Closed as completed,"bug, web",✓
Deno,2.7.7,Cross runtime ,structuredClone serializing a non-serializable object,https://github.com/denoland/deno/issues/32914,22-03-2026,25-04-2025,Closed as completed,"bug, ext/web",✓
Bun,1.3.11,Cross runtime ,fs.glob does not support options.withFileTypes yet.,https://github.com/oven-sh/bun/issues/28429,22-03-2026,26-03-2026,Closed as duplicate,bug,✓
Deno,2.7.7,Cross runtime ,process.setUncaughtExceptionCaptureCallback not implemented,https://github.com/denoland/deno/issues/32915,22-03-2026,23-03-2026,Closed as completed,"bug, node compat",✓
Bun,1.3.11,Cross runtime ,[streams] Uncatchable error when piping object-mode source into byte-mode destination,https://github.com/oven-sh/bun/issues/28431,22-03-2026,23-03-2026,Closed as completed,bug,✓
Bun,1.3.11,Cross runtime ,structuredClone with transferable ReadableStream throws DataCloneError,https://github.com/oven-sh/bun/issues/28434,22-03-2026,,Open,bug,✓
